,id,health_score,circumstance_score,effort_score,time_bin
0,29865,0.9757142857142858,0.8571428571428571,0.7159789993686614,0 to 4 years
1,27439,0.9328571428571428,0.42857142857142855,0.4422607384741235,0 to 4 years
2,22550,0.99,1.0,0.5831336436097183,0 to 4 years
3,22887,0.9185714285714286,0.2857142857142857,0.6919193702203839,0 to 4 years
4,28057,0.99,1.0,0.5798664878464305,0 to 4 years
5,22669,0.9757142857142858,0.8571428571428571,0.7791610000478932,0 to 4 years
6,20370,0.9042857142857142,0.14285714285714285,0.5874892468284685,0 to 4 years
7,22875,0.9185714285714286,0.2857142857142857,0.3628052617347929,0 to 4 years
8,27219,0.9471428571428572,0.5714285714285714,0.4869566931211417,0 to 4 years
9,26383,0.9471428571428572,0.5714285714285714,0.4876260196468779,0 to 4 years
10,29410,0.9042857142857142,0.14285714285714285,0.44309246756402754,0 to 4 years
11,27361,0.99,1.0,0.49392038369666513,0 to 4 years
12,21556,0.9471428571428572,0.5714285714285714,0.6110420045760595,0 to 4 years
13,20305,0.9042857142857142,0.14285714285714285,0.43476755560167923,0 to 4 years
14,22714,0.9042857142857142,0.14285714285714285,0.6067477407448363,0 to 4 years
15,26742,0.9042857142857142,0.14285714285714285,0.782009927384677,0 to 4 years
16,20338,0.9185714285714286,0.2857142857142857,0.5848316748428006,0 to 4 years
17,29141,0.9042857142857142,0.14285714285714285,0.7842209575456144,0 to 4 years
18,25085,0.99,1.0,0.4864618426127334,0 to 4 years
19,26869,0.9185714285714286,0.2857142857142857,0.6513498125554483,0 to 4 years
20,27416,0.9328571428571428,0.42857142857142855,0.61653017598803,0 to 4 years
21,28412,0.9185714285714286,0.2857142857142857,0.6302999446466692,0 to 4 years
22,29546,0.9471428571428572,0.5714285714285714,0.6245374446588847,0 to 4 years
23,20940,0.9757142857142858,0.8571428571428571,0.464248859330453,0 to 4 years
24,20891,0.9471428571428572,0.5714285714285714,0.5172041145686851,0 to 4 years
25,23648,0.9471428571428572,0.5714285714285714,0.5204996474690519,0 to 4 years
26,28164,0.9185714285714286,0.2857142857142857,0.44566395339443293,0 to 4 years
27,22081,0.9185714285714286,0.2857142857142857,0.5770588077507643,0 to 4 years
28,28549,0.9614285714285714,0.7142857142857142,0.5863901379815541,0 to 4 years
29,22223,0.9042857142857142,0.14285714285714285,0.782974257664277,0 to 4 years
30,28955,0.9757142857142858,0.8571428571428571,0.8538955954940699,0 to 4 years
31,28484,0.9757142857142858,0.8571428571428571,0.46116786806901733,0 to 4 years
32,20379,0.9328571428571428,0.42857142857142855,0.6497922460455069,0 to 4 years
33,26111,0.99,1.0,0.5643302232495313,0 to 4 years
34,26415,0.9185714285714286,0.2857142857142857,0.4216271405197263,0 to 4 years
35,20533,0.9757142857142858,0.8571428571428571,0.49141129696608277,0 to 4 years
36,22231,0.9185714285714286,0.2857142857142857,0.6674504702950259,0 to 4 years
37,28582,0.9757142857142858,0.8571428571428571,0.5617154332217995,0 to 4 years
38,21868,0.9471428571428572,0.5714285714285714,0.5538340278317486,0 to 4 years
39,26382,0.9757142857142858,0.8571428571428571,0.6945258428565262,0 to 4 years
40,20286,0.9757142857142858,0.8571428571428571,0.5890762047859643,0 to 4 years
41,25394,0.9471428571428572,0.5714285714285714,0.7767166162608217,0 to 4 years
42,27875,0.9042857142857142,0.14285714285714285,0.594448629018458,0 to 4 years
43,28549,0.9614285714285714,0.7142857142857142,0.5863901379815541,0 to 4 years
44,28805,0.9328571428571428,0.42857142857142855,0.5670507107710959,0 to 4 years
45,24171,0.9042857142857142,0.14285714285714285,0.6735810712962125,0 to 4 years
46,24329,0.9042857142857142,0.14285714285714285,0.5384443769824188,0 to 4 years
47,21847,0.9471428571428572,0.5714285714285714,0.6366806586089276,0 to 4 years
48,25200,0.99,1.0,0.811560247614156,0 to 4 years
49,24926,0.9328571428571428,0.42857142857142855,0.6316512595640694,0 to 4 years
50,21346,0.9757142857142858,0.8571428571428571,0.7357026918707834,0 to 4 years
51,29601,0.9185714285714286,0.2857142857142857,0.5655266876615943,0 to 4 years
52,23812,0.9185714285714286,0.2857142857142857,0.4644178662916451,0 to 4 years
53,26068,0.9471428571428572,0.5714285714285714,0.5124196627898177,0 to 4 years
54,22304,0.9757142857142858,0.8571428571428571,0.6535651523116051,0 to 4 years
55,29473,0.9185714285714286,0.2857142857142857,0.5197350644174042,0 to 4 years
56,27283,0.9614285714285714,0.7142857142857142,0.6055065855616615,0 to 4 years
57,21561,0.9757142857142858,0.8571428571428571,0.4888870209870098,0 to 4 years
58,21221,0.9042857142857142,0.14285714285714285,0.6766851736485713,0 to 4 years
59,22792,0.9471428571428572,0.5714285714285714,0.6300643032510719,0 to 4 years
60,26256,0.9185714285714286,0.2857142857142857,0.7237129516234757,0 to 4 years
61,27931,0.9328571428571428,0.42857142857142855,0.6449054664741497,0 to 4 years
62,21331,0.9185714285714286,0.2857142857142857,0.6874752051270537,0 to 4 years
63,28659,0.9185714285714286,0.2857142857142857,0.42865486247359064,0 to 4 years
64,26975,0.9328571428571428,0.42857142857142855,0.6601295832178156,0 to 4 years
65,28981,0.9185714285714286,0.2857142857142857,0.49359241561301825,0 to 4 years
66,25687,0.9471428571428572,0.5714285714285714,0.49943684035471353,0 to 4 years
67,20039,0.9185714285714286,0.2857142857142857,0.7320830799415403,0 to 4 years
68,22794,0.99,1.0,0.8551150421235043,0 to 4 years
69,26603,0.9614285714285714,0.7142857142857142,0.5328478289275351,0 to 4 years
70,29485,0.9042857142857142,0.14285714285714285,0.852679828494146,0 to 4 years
