,id,health_score,circumstance_score,effort_score,time_bin
0,10538,0.9185714285714286,0.2857142857142857,0.698412348657456,0 to 4 years
1,16796,0.9185714285714286,0.2857142857142857,0.6147708015656675,0 to 4 years
2,11268,0.99,1.0,0.5721142841843145,0 to 4 years
3,14380,0.99,1.0,0.4180750927986562,0 to 4 years
4,17235,0.9328571428571428,0.42857142857142855,0.6250702099776021,0 to 4 years
5,13356,0.9185714285714286,0.2857142857142857,0.5814265135639121,0 to 4 years
6,15522,0.99,1.0,0.49557309136815386,0 to 4 years
7,10750,0.9757142857142858,0.8571428571428571,0.5767737670907973,0 to 4 years
8,16809,0.9471428571428572,0.5714285714285714,0.6291998810373337,0 to 4 years
9,13499,0.9185714285714286,0.2857142857142857,0.5575525297887131,0 to 4 years
10,16295,0.9328571428571428,0.42857142857142855,0.5062158269812361,0 to 4 years
11,16668,0.9614285714285714,0.7142857142857142,0.5854536856134439,0 to 4 years
12,13829,0.9471428571428572,0.5714285714285714,0.6248957541460558,0 to 4 years
13,11106,0.9328571428571428,0.42857142857142855,0.4941457884537471,0 to 4 years
14,17635,0.9471428571428572,0.5714285714285714,0.7512424401442835,0 to 4 years
15,10581,0.9471428571428572,0.5714285714285714,0.6919596583785176,0 to 4 years
16,19707,0.9185714285714286,0.2857142857142857,0.7606974797120317,0 to 4 years
17,17395,0.9185714285714286,0.2857142857142857,0.6008551237317311,0 to 4 years
18,13062,0.9042857142857142,0.14285714285714285,0.8194740447073079,0 to 4 years
19,15215,0.9614285714285714,0.7142857142857142,0.6589298209708944,0 to 4 years
20,13148,0.9328571428571428,0.42857142857142855,0.6746757314287648,0 to 4 years
21,11807,0.99,1.0,0.5735034552244394,0 to 4 years
22,11426,0.9328571428571428,0.42857142857142855,0.5430864864826668,0 to 4 years
23,17148,0.9185714285714286,0.2857142857142857,0.5219258521171473,0 to 4 years
24,11582,0.9042857142857142,0.14285714285714285,0.61586786856775,0 to 4 years
25,18211,0.9185714285714286,0.2857142857142857,0.552301647603455,0 to 4 years
26,16067,0.9757142857142858,0.8571428571428571,0.5988969426741815,0 to 4 years
27,11252,0.9042857142857142,0.14285714285714285,0.7150641834161454,0 to 4 years
28,19895,0.9185714285714286,0.2857142857142857,0.542644024380816,0 to 4 years
29,10909,0.9042857142857142,0.14285714285714285,0.723427814798414,0 to 4 years
30,17990,0.9185714285714286,0.2857142857142857,0.3906942856607367,0 to 4 years
31,11163,0.9042857142857142,0.14285714285714285,0.7724505982133989,0 to 4 years
32,17634,0.9757142857142858,0.8571428571428571,0.7065709533287372,0 to 4 years
33,15000,0.9185714285714286,0.2857142857142857,0.5569625911163555,0 to 4 years
34,15167,0.9471428571428572,0.5714285714285714,0.5237518882048573,0 to 4 years
35,16599,0.9185714285714286,0.2857142857142857,0.4806547466208863,0 to 4 years
36,11237,0.9185714285714286,0.2857142857142857,0.7078093243759693,0 to 4 years
37,13347,0.9042857142857142,0.14285714285714285,0.6001426041544391,0 to 4 years
38,12961,0.9471428571428572,0.5714285714285714,0.7352710550852337,0 to 4 years
39,19637,0.9471428571428572,0.5714285714285714,0.4796834100623941,0 to 4 years
40,17239,0.9185714285714286,0.2857142857142857,0.5990774343692197,0 to 4 years
41,15221,0.9328571428571428,0.42857142857142855,0.7850762063143784,0 to 4 years
42,13879,0.99,1.0,0.5332193710633959,0 to 4 years
43,15752,0.9042857142857142,0.14285714285714285,0.6268715467160946,0 to 4 years
44,18745,0.99,1.0,0.6644565099690068,0 to 4 years
45,10335,0.9185714285714286,0.2857142857142857,0.6175956859440987,0 to 4 years
46,15124,0.9042857142857142,0.14285714285714285,0.4463982756782779,0 to 4 years
47,18264,0.9042857142857142,0.14285714285714285,0.7417858978893344,0 to 4 years
48,19682,0.9185714285714286,0.2857142857142857,0.678219227006692,0 to 4 years
49,13244,0.9328571428571428,0.42857142857142855,0.678146635816878,0 to 4 years
50,10902,0.9471428571428572,0.5714285714285714,0.6207458782790883,0 to 4 years
51,16157,0.9042857142857142,0.14285714285714285,0.7574832095456208,0 to 4 years
52,15422,0.9185714285714286,0.2857142857142857,0.7135707413515637,0 to 4 years
53,18821,0.99,1.0,0.5529001085378058,0 to 4 years
54,10051,0.9757142857142858,0.8571428571428571,0.5151776696336067,0 to 4 years
55,13450,0.9185714285714286,0.2857142857142857,0.596417661038622,0 to 4 years
56,15343,0.9185714285714286,0.2857142857142857,0.4653039036418266,0 to 4 years
57,10613,0.9757142857142858,0.8571428571428571,0.48506686624657036,0 to 4 years
58,11600,0.9757142857142858,0.8571428571428571,0.8423713103134464,0 to 4 years
59,17437,0.9185714285714286,0.2857142857142857,0.6967941585116959,0 to 4 years
60,10419,0.9185714285714286,0.2857142857142857,0.46977689028908,0 to 4 years
61,13636,0.9328571428571428,0.42857142857142855,0.5550958623748445,0 to 4 years
62,19597,0.9042857142857142,0.14285714285714285,0.7315869986185097,0 to 4 years
63,18195,0.9757142857142858,0.8571428571428571,0.5133575058909722,0 to 4 years
64,16986,0.9471428571428572,0.5714285714285714,0.42098724504794444,0 to 4 years
65,12106,0.9471428571428572,0.5714285714285714,0.567774621525149,0 to 4 years
66,17155,0.9328571428571428,0.42857142857142855,0.6795587356449925,0 to 4 years
67,14505,0.9757142857142858,0.8571428571428571,0.766049136714542,0 to 4 years
68,12683,0.9185714285714286,0.2857142857142857,0.44343887998308196,0 to 4 years
69,12135,0.9471428571428572,0.5714285714285714,0.6706781622127658,0 to 4 years
70,16603,0.9042857142857142,0.14285714285714285,0.7272321333943197,0 to 4 years
