id,health_score,unshocked_health_score,health_ability,circumstance_score,effort_score,alive,age_of_death
16528,-0.026429392834426864,0.633977422540462,0.37913754066937716,0.2857142857142857,0.4653373096121014,False,74
16529,0.48997407142247446,0.48997407142247446,0.6212540361102102,0.8571428571428571,0.49209203545636354,True,80
16530,0.0,0.7622507888897058,0.5102163995185833,0.42857142857142855,0.5788876007590744,False,68
16531,-0.012384695128931908,0.6693375529094583,0.25533132144709236,0.14285714285714285,0.38880623755643384,False,72
16532,0.4614026428510459,0.4614026428510459,0.5309018805155081,0.5714285714285714,0.5033611941333815,True,80
16533,-0.27285356876572586,0.6034417807923927,0.3864900596392233,0.2857142857142857,0.4810052758655093,False,75
16534,0.48997407142247446,0.48997407142247446,0.6355546591229255,0.8571428571428571,0.5117845484262944,True,80
16535,-0.06916246858988281,0.6482631368261762,0.4733982180007007,0.42857142857142855,0.5087586924073834,False,74
16536,-0.032826926071286816,0.5287670626182716,0.44567706928631723,0.2857142857142857,0.6149543476294019,False,77
16537,-0.005123921914218774,0.48997407142247446,0.6738020175879746,0.8571428571428571,0.566036916414346,False,79
16538,-0.11321752419029332,0.6693375529094583,0.3323531393855155,0.14285714285714285,0.6125472438340113,False,72
16539,0.41854549999390295,0.41854549999390295,0.30731009602620474,0.14285714285714285,0.5351546694549523,True,80
16540,0.48997407142247446,0.48997407142247446,0.7176883524133075,0.8571428571428571,0.6310914943857899,True,80
16541,-0.13181554392347208,0.7121946957666012,0.6108316260134226,0.5714285714285714,0.6410504849028007,False,72
16542,0.48997407142247446,0.48997407142247446,0.7219780526971932,0.8571428571428571,0.6376091847198138,True,80
16543,-0.02331585530151789,0.5573384911897001,0.6130648342037507,0.5714285714285714,0.6450966747113508,False,77
16544,-0.02473872311702171,0.633977422540462,0.43683645300442,0.2857142857142857,0.5940738449286558,False,74
16545,0.5042597857081887,0.5042597857081887,0.6103614770023704,1.0,0.426896518094344,True,80
16546,-0.016002477364571693,0.6625488511118905,0.5460486041728706,0.5714285714285714,0.528376616119908,False,74
16547,-0.014869358826800495,0.6836232671951726,0.33482983451615206,0.2857142857142857,0.375587904738204,False,72
16548,0.5042597857081887,0.5042597857081887,0.8307342152235271,1.0,0.726342653511593,True,80
16549,-0.029294404976333774,0.44711692856533153,0.5126397386022211,0.42857142857142855,0.5836362699236042,False,79
16550,0.4614026428510459,0.4614026428510459,0.5789730168754508,0.5714285714285714,0.5844983415741954,True,80
16551,-0.025012917415549868,0.5430527769039858,0.4517334762693082,0.42857142857142855,0.46928361250186557,False,77
16552,-0.043493595282834294,0.48997407142247446,0.718749853605238,0.8571428571428571,0.6327017002397318,False,79
16553,0.058541658662567664,0.48997407142247446,0.5780507595694401,0.8571428571428571,0.43458548846780454,True,80
16554,0.41854549999390295,0.41854549999390295,0.3447859959732309,0.14285714285714285,0.652588327179043,True,80
16555,-0.018393307881201346,0.689137935908798,0.5108945181527813,0.5714285714285714,0.4711030349862153,False,73
16556,-0.041024384491581294,0.4694132772825569,0.3771694441699392,0.14285714285714285,0.7618299926437826,False,78
16557,0.5042597857081887,0.5042597857081887,0.7839960138259541,1.0,0.6573285685821257,True,80
16558,0.44711692856533153,0.44711692856533153,0.46258661798945633,0.42857142857142855,0.4888916410512742,True,80
16559,-0.010227031839422002,0.6625488511118905,0.7253405869051913,0.5714285714285714,0.8620812642166051,False,74
16560,0.4328312142796173,0.4328312142796173,0.40684288356460935,0.2857142857142857,0.5255065186465189,True,80
16561,0.4614026428510459,0.4614026428510459,0.595684296072841,0.5714285714285714,0.6138890428459784,True,80
16562,-0.03482397320209739,0.48997407142247446,0.6172288277199567,0.8571428571428571,0.4866077902003716,False,79
16563,-0.1345943087636292,0.5144813483325572,0.3532148394222344,0.14285714285714285,0.6803373924662981,False,77
16564,-0.002421000885510269,0.6693375529094583,0.3384027103306981,0.14285714285714285,0.631897399617163,False,72
